# Constructed from biom file
#OTU ID	FL1	FL2	FL3	FL4	FL5	FL6	FR1	FR2	FR3	FR4	FR5	FR6	GL1	GL2	GL3	GL4	GL5	GL6	GR1	GR2	GR3	GR4	GR5	GR6	HL1	HL2	HL3	HL4	HL5	HL6	HR1	HR2	HR3	HR4	HR5	HR6	LB1	LB2	LB3	LB4	LB5	LB6	LY1	LY2	LY3	LY4	LY5	LY6	RB1	RB2	RB3	RB4	RB5	RB6	RY1	RY2	RY3	RY4	RY5	RY6	SL1	SL2	SL3	SL4	SL5	SL6	SR1	SR2	SR3	SR4	SR5	SR6
3b6de8dba9d9bfe15d489e5573f2889c	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	240.0	255.0	498.0	0.0	126.0	81.0	496.0	112.0	1649.0	0.0	316.0	789.0	410.0	5768.0	1587.0	0.0	0.0	120.0	38.0	0.0	9760.0	4.0	60.0	30.0	33048.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	15.0
94ebc02c87270509569d665317bf2436	561.0	202.0	784.0	338.0	946.0	1086.0	757.0	457.0	160.0	190.0	272.0	122.0	3499.0	352.0	498.0	829.0	567.0	545.0	239.0	135.0	223.0	587.0	4065.0	375.0	2259.0	566.0	1087.0	1123.0	440.0	638.0	148.0	42.0	583.0	350.0	87.0	170.0	0.0	0.0	0.0	228.0	0.0	76.0	0.0	0.0	0.0	32.0	0.0	63.0	46.0	461.0	975.0	6410.0	426.0	204.0	1057.0	585.0	4211.0	233.0	732.0	1191.0	1682.0	196.0	84.0	166.0	764.0	725.0	646.0	479.0	1723.0	349.0	321.0	209.0
7fbb93d82e4abea98be2b43aa3e311fd	1301.0	7277.0	982.0	1930.0	682.0	653.0	297.0	482.0	148.0	161.0	521.0	274.0	1041.0	576.0	1662.0	1685.0	2858.0	1550.0	873.0	95.0	84.0	138.0	313.0	126.0	1291.0	554.0	637.0	145.0	349.0	477.0	137.0	47.0	129.0	104.0	0.0	115.0	51.0	0.0	0.0	130.0	19.0	70.0	0.0	52.0	28.0	0.0	0.0	105.0	59.0	478.0	667.0	372.0	386.0	209.0	221.0	33.0	192.0	421.0	366.0	101.0	711.0	7401.0	2498.0	2268.0	1252.0	671.0	332.0	120.0	233.0	115.0	60.0	134.0
bf90fa671dd7548ff3f1751bf11ca405	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	7407.0	0.0	8471.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2057.0	0.0	27750.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	975.0	892.0	0.0	36.0	103.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	57.0
f11e4cf5924b50313b6c1fdf56a73d92	0.0	0.0	0.0	0.0	0.0	171.0	185.0	104.0	307.0	3951.0	1450.0	631.0	0.0	0.0	0.0	2.0	0.0	0.0	99.0	457.0	373.0	9790.0	315.0	20054.0	0.0	21.0	0.0	13.0	63.0	0.0	7.0	9.0	2173.0	2111.0	822.0	1259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	16.0	8.0	0.0	0.0	6.0	11.0	0.0	0.0	26.0	18.0	0.0	0.0	109.0	45.0	189.0	151.0	0.0	938.0	474.0	494.0
094fcf94f6112c5df8bea9008261e5c5	3162.0	390.0	1977.0	405.0	415.0	696.0	768.0	322.0	293.0	239.0	438.0	194.0	1734.0	125.0	1267.0	736.0	1392.0	3352.0	161.0	148.0	192.0	385.0	2372.0	239.0	458.0	845.0	1032.0	1017.0	662.0	70.0	149.0	104.0	89.0	171.0	72.0	406.0	1715.0	514.0	299.0	143.0	441.0	1155.0	0.0	821.0	141.0	764.0	2486.0	1097.0	0.0	286.0	0.0	338.0	152.0	225.0	456.0	468.0	435.0	654.0	521.0	139.0	697.0	51.0	121.0	202.0	648.0	672.0	661.0	301.0	698.0	189.0	90.0	112.0
11f304220847ab61f699bfc65d15b63e	38.0	56.0	70.0	0.0	0.0	383.0	476.0	345.0	262.0	47.0	119.0	24.0	194.0	0.0	31.0	65.0	0.0	58.0	0.0	124.0	296.0	0.0	7443.0	191.0	134.0	39.0	0.0	328.0	111.0	0.0	22.0	35.0	0.0	363.0	311.0	210.0	1088.0	87.0	54.0	3759.0	39.0	5144.0	6273.0	1156.0	427.0	1954.0	1453.0	3840.0	0.0	0.0	62.0	0.0	0.0	125.0	18.0	0.0	101.0	249.0	0.0	0.0	0.0	20.0	0.0	42.0	0.0	297.0	0.0	0.0	0.0	397.0	47.0	466.0
7dc4fc3f0eabd4c587a62e6311703fcb	477.0	114.0	1211.0	48.0	0.0	740.0	373.0	93.0	174.0	351.0	232.0	521.0	189.0	57.0	439.0	0.0	458.0	0.0	88.0	140.0	57.0	777.0	147.0	364.0	483.0	720.0	326.0	1674.0	300.0	94.0	104.0	22.0	870.0	1535.0	1661.0	5103.0	483.0	95.0	6.0	2215.0	382.0	2550.0	1047.0	508.0	98.0	811.0	417.0	2147.0	96.0	0.0	0.0	61.0	136.0	227.0	0.0	0.0	81.0	1300.0	0.0	133.0	0.0	109.0	19.0	0.0	0.0	121.0	104.0	144.0	322.0	214.0	321.0	210.0
8a23679cc6c7355a06edade8ffbfe0f1	55.0	0.0	143.0	0.0	30.0	63.0	1046.0	614.0	3015.0	571.0	214.0	762.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	150.0	162.0	303.0	19.0	240.0	38.0	0.0	0.0	134.0	251.0	173.0	439.0	547.0	1410.0	2417.0	3210.0	2192.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	38.0	609.0	235.0	467.0	0.0	174.0	1684.0	561.0	1529.0	49.0	0.0	24.0	0.0	0.0	0.0	37.0	611.0	0.0	557.0	2250.0	2025.0	2451.0
d74647adedc9f373d39a0dd9c126a4a8	0.0	52.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	12.0	41.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	51.0	41.0	94.0	0.0	19.0	68.0	172.0	1624.0	100.0	886.0	1076.0	1049.0	140.0	3364.0	9078.0	3027.0	3994.0	877.0	80.0	0.0	0.0	0.0	0.0	118.0	62.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	7.0	47.0	103.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
