# Constructed from biom file
#OTU ID	SRR2061489	SRR2061490	SRR2061491	SRR2061492	SRR2061493	SRR2061508	SRR2061509	SRR2061510	SRR2061511	SRR2061512	SRR2061513	SRR2061518	SRR2061528	SRR2061538	SRR2061539	SRR2061540	SRR2061541	SRR2061542	SRR2061543	SRR2061558	SRR2061564	SRR2061565	SRR2061566	SRR2061567	SRR2061568	SRR2061569	SRR2061570	SRR2061571	SRR2061572	SRR2061573	SRR2061574	SRR2061575	SRR2061576	SRR2061577	SRR2061578	SRR2061604	SRR2061605	SRR2061606	SRR2061607	SRR2061608	SRR2061609	SRR2061610	SRR2061611	SRR2061612	SRR2061613	SRR2061614	SRR2061615	SRR2061616	SRR2061617	SRR2061618	SRR2061624	SRR2061625	SRR2061626	SRR2061627	SRR2061628	SRR2061639	SRR2061640	SRR2061641	SRR2061642	SRR2061643	SRR2061659	SRR2061660	SRR2061661	SRR2061662	SRR2061663	SRR2061664	SRR2061665	SRR2061666	SRR2061667	SRR2061668	SRR2061679	SRR2061680	SRR2061681	SRR2061682
50c04f234387d4b73b03f5313dffbb05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2966.0	0.0	0.0	0.0	0.0	1024.0	1284.0	4060.0	1425.0	6751.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0
4c1fe9bd717a6aeb2a0f591388d92107	2996.0	227.0	275.0	96.0	2677.0	93.0	0.0	0.0	0.0	0.0	0.0	359.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	621.0	0.0	249.0	0.0	0.0	57.0	258.0	0.0	95.0	40.0	142.0	0.0	60.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	287.0	1128.0	803.0	1435.0	128.0	1498.0	0.0	99.0	0.0	0.0	147.0	252.0	0.0	105.0	0.0	124.0	0.0	0.0	0.0	112.0	0.0	186.0	0.0	229.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1cd2486bd2a0241bc32096ccedc94f5	0.0	0.0	10.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	560.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	852.0	0.0	450.0	0.0	10856.0	261.0	0.0	0.0	133.0
b79a470c91c8c678083b09d0f7c6085b	0.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	266.0	0.0	1075.0	143.0	5720.0	0.0	0.0	0.0	18.0	0.0	91.0	221.0	0.0	0.0	109.0	168.0	0.0	0.0	0.0	1182.0	92.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	121.0	114.0	0.0	208.0	204.0	210.0	0.0	135.0	241.0	0.0	173.0	252.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	0.0	127.0	0.0	52.0	192.0	434.0	0.0	613.0	0.0	511.0	0.0	0.0	87.0	188.0
a66d609c4d3c01350a178a752ad9dfe4	1800.0	0.0	141.0	0.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0	0.0	17.0	0.0	0.0	0.0	0.0	339.0	0.0	0.0	340.0	1485.0	0.0	0.0	0.0	0.0	0.0	1273.0	964.0	361.0	0.0	986.0	0.0	0.0	0.0	0.0	0.0	299.0	0.0	0.0	0.0	0.0	1420.0	319.0	0.0	312.0	654.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	289.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d34d82b318c8746478f0acb5f816899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	8.0	166.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	199.0	0.0	0.0	0.0	0.0	0.0	347.0	0.0	4217.0	0.0	0.0	144.0	0.0	68.0	0.0	0.0	0.0	0.0	375.0	136.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	95.0	0.0	91.0	62.0	0.0	257.0	206.0	936.0	592.0	285.0	339.0	0.0	446.0	46.0	0.0	0.0	28.0
9dff746571cc3157868fb5a5ff22e556	495.0	0.0	0.0	0.0	252.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	90.0	0.0	0.0	0.0	0.0	393.0	0.0	2346.0	0.0	0.0	0.0	1531.0	1476.0	0.0	0.0	165.0	0.0	0.0	0.0	1325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	8.0	124.0	99.0	0.0	56.0	0.0	106.0	0.0	33.0	0.0	0.0	0.0	0.0
b3ddbdd48afcf7be8742d3dc31a5a3c7	0.0	0.0	8.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	230.0	152.0	6887.0	13.0	140.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	212.0	0.0	0.0	26.0	0.0
476d5484103b83679b32394f86647662	1994.0	266.0	154.0	23.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	171.0	417.0	233.0	374.0	185.0	0.0	0.0	0.0	0.0	48.0	90.0	260.0	0.0	109.0	0.0	2472.0	0.0	0.0	136.0	102.0	79.0	295.0	110.0	78.0	196.0	133.0	158.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14fee006d8484a2f630219aa9750511e	0.0	0.0	0.0	0.0	454.0	0.0	118.0	0.0	602.0	0.0	1464.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	696.0	0.0	70.0	0.0	0.0	0.0	0.0	5.0	0.0	69.0	0.0	0.0	0.0	129.0	0.0	53.0	185.0	0.0	150.0	1115.0	0.0	727.0	909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	75.0	110.0	0.0	126.0	100.0	412.0	283.0	25.0	0.0	0.0	0.0	0.0	44.0
30e4c158b064b9f54b32f7902bb57721	868.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	403.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	1060.0	0.0	0.0	0.0	646.0	498.0	0.0	0.0	0.0	0.0	645.0	435.0	340.0	378.0	496.0	322.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	655.0	0.0	0.0	0.0
59ef8eaa160cf769415fc1bb4d61ed75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1596.0	287.0	3520.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	682.0	0.0	408.0	0.0	390.0	0.0	0.0	0.0	0.0
4d13ddfe3274dd537693c0e0f9c00821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	659.0	0.0	2197.0	0.0	3890.0	0.0	0.0	0.0	0.0
37b9b94fbc81e46b4cd015923b61d18a	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3076.0	0.0	1074.0	13.0	1170.0	0.0	0.0	0.0	0.0
dc7808ffd7ab7c8aa732c5198740ac49	0.0	0.0	0.0	0.0	88.0	141.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1128.0	0.0	1486.0	0.0	1112.0	39.0	0.0	0.0	97.0
dc0f0a8a57bb72636456ab1d416cfbbe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	4254.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0
3ee56956a04c842d1959a40e11c89f57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16bc4de789dc1030919bec29d1792b0c	0.0	114.0	0.0	30.0	282.0	0.0	573.0	0.0	299.0	0.0	401.0	0.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	397.0	0.0	0.0	97.0	60.0	133.0	54.0	63.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	302.0	120.0	10.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	242.0
