class	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1
subject_id	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Eremothecium	0	0	0	0	0	0.002888796	0	0	0	0	0.020672417	0.017347558	0	0.018291568	0.021199915	0.006529226	0.019616818	0.013208949	0.023081362	0.016257189	0.020039411	0.019733596	0	0.008236011	0.013018714	0.009762447	0.006665778	0.019933555	0.014348673	0.050407644	0	0	0	0	0	0	0	0.00745512	0	0	0.025243832	0.019068807	0.049241375	0.023805745	0.019676432	0.018023332	0.035354796	0.033000787	0.016991199	0.038843685	0	0	0.015279306	0	0.055043745	0	0	0	0	0.024966711	0	0	0.018400618	0	0.023599377	0.015830299	0.01230951	0	0.029896111	0
Fusarium	0.017095877	0.035103629	0.044249963	0	0.018669197	0.03466555	0.026075619	0	0.101371497	0.014359334	0	0.138780467	0.14898319	0.07316627	0.083168898	0.135481449	0.130778788	0.059440271	0.199488913	0.113800321	0.11021676	0.166091103	0.108840443	0.128481774	0.0455655	0.135047185	0.121650447	0.059800664	0.079942605	0.129306566	0	0	0.025129714	0.025602458	0.03049297	0.010183003	0.020823108	0.023856385	0.014134054	0.014954389	0.137693632	0.14301605	0.120025852	0.081997567	0.10056843	0.103224538	0.114383163	0.078694184	0.081557753	0.122664268	0.081422756	0.088858172	0.073340667	0.098122757	0.089808216	0	0.103551431	6.913702182	0	0.124833555	0.102541363	0.08495876	0.077282597	0.052550448	0.084957757	0.463036251	6.693911716	0.097595253	0.174393981	0.382465431
Geomyces	0.020204218	0.019014466	0.029499975	0	0.015557664	0.011555183	0.023178328	0.004744208	0.175909362	0.004786445	0.19544831	0.161910544	0.208576466	0.189775014	0.176122372	0.155069128	0.201072386	0.231156609	0.25389498	0.262147168	0.192044354	0.172668969	0.196562591	0.215783492	0.175752644	0.157826228	0.216637782	0.171096346	0.272624782	0.304637503	0.057307454	0.00778889	0.042868335	0.014401383	0.005082162	0.014547147	0.019335743	0.074551202	0.007852252	0.004984796	0.273092369	0.212935007	0.255439633	0.288314024	0.159597726	0.316227553	0.19341153	0.286852994	0.198797023	0.186040806	0.192843368	0.261637952	0.149737196	0.224649469	0.254939452	0.166796792	0.207102861	0	0.151701906	0.149800266	0.191225785	0.120358243	0.176645935	0.09809417	0.165195639	0.154345417	0.054161845	0.222517177	0.239168888	0.129449838
Gibberella	0.012433365	0.008775907	0.0131111	0	0	0	0	0	0.026833631	0	0	0	0	0.029723797	0.022830678	0.01469076	0.021251553	0.031371254	0.018135356	0.022353634	0	0.031244861	0.016244842	0	0.026037429	0.01789782	0.034995334	0.013289037	0	0.030682914	0.009048545	0	0	0	0	0	0	0.016401264	0	0	0	0.044493882	0	0.01851558	0	0.011469393	0.033275102	0.025385221	0.010194719	0.01839964	0.034283265	0	0	0.025821778	0	0	0.024929048	1.008836135	0.042666161	0.037450067	0	0	0	0.024523543	0	0	0	0	0	0
Gliocladiopsis	0	0.008775907	0.0131111	0.006314128	0.004667299	0	0	0	0.041741205	0	0.030068971	0.040477636	0.057110223	0.061734041	0.027722966	0.047336892	0.022886288	0.061091389	0.029676037	0.050803715	0.051768478	0.031244861	0.058481432	0.028002438	0.04719284	0.042303938	0.04832689	0.011627907	0.026647535	0.050407644	0.024129455	0.006231112	0.016260403	0	0.008470269	0	0.005949459	0	0	0	0.039013196	0.022246941	0.036931031	0.026450828	0.026235243	0.02785424	0	0.038077831	0.027185918	0.012266427	0.034283265	0.069111912	0.033614473	0.043897023	0.017382235	0.039037547	0.034517144	0	0.05214753	0.041611185	0.047113599	0.038939431	0.011040371	0.01051009	0	0	0.014771412	0.054653342	0.042352824	0.035304501
Glutinomyces	0	0	0.045888851	0	0.015557664	0	0	0	0.15503876	0	0.208603484	0.190823142	0.18871204	0.256081946	0.143507118	0.177921421	0.219054469	0.132089491	0.120352815	0.176796927	0.160315287	0.129912843	0.154326001	0.149895403	0.16273393	0.175724048	0.148313558	0.149501661	0.118889003	0.149031297	0.036194182	0	0.031042587	0	0	0	0.013386284	0	0	0	0.105565118	0.019068807	0.1969655	0.216896789	0.087450809	0.201533622	0.147658265	0.076155662	0.173310225	0.269861389	0.162845511	0.148096954	0.119178585	0.131691068	0.141954922	0.131308113	0.212855718	0	0.165923959	0.133155792	0.15242635	0.077878863	0.139844699	0.056053812	0.12271676	0.146430268	0.051699943	0.191286696	0.07723162	0.058840836
Inocybe	0.018650047	0	0.018027763	0	0	0	0.010140519	0	0.104353011	0	0.248069008	0.216844479	0.099322126	0.128040973	0.097845762	0.10120301	0.1078925	0.148600677	0.201137581	0.241825682	0.141945827	0	0.086097664	0.092243325	0.143205858	0.120403514	0	0.171096346	0	0.276146226	0.034686091	0.010904446	0.032520806	0.01760169	0.005082162	0.014547147	0.035696756	0	0.009422702	0.008307994	0.275387263	0	0.283137907	0.243347617	0.142107564	0.186787259	0.305714999	0.198004722	0.190301424	0.304616265	0.145703878	0.138223824	0.165016502	0.180752447	0.252042413	0.110014905	0.139986193	0	0.123257798	0.145639148	0	0.138057984	0.125124204	0.070067265	0.127436636	0.134557543	0.044314237	0.136633354	0.164428611	0
Irpex	0.004662512	0	0.008194438	0	0	0.004333194	0	0	0.014907573	0.003190963	0.033827592	0.023130078	0.022347478	0.032010243	0.014676864	0.022852293	0.040868371	0.044580203	0.021432693	0.052835863	0.028389165	0.034533794	0.014620358	0.01482482	0.043938161	0.022779043	0.008332222	0.03986711	0.047145639	0.081090558	0.007540455	0	0	0	0	0	0.00297473	0.005964096	0	0	0.066551922	0.025425075	0.055396547	0.052901656	0.028421513	0.019661817	0.087347143	0.053308964	0.049274476	0.049065707	0.017141633	0.054302217	0.021391028	0.018075245	0.07532302	0.014195472	0.019176191	0	0	0.020805593	0.013856941	0.007079897	0.04048136	0.028026906	0.023599377	0.015830299	0.01230951	0.027326671	0.032387454	0.011768167
Laccaria	0	0	0	0	0.004667299	0	0	0.004744208	0.035778175	0	0.063896563	0.095411571	0.037245797	0.027437351	0.027722966	0.024484599	0.032694697	0.03632461	0.057703405	0.097543132	0.065128085	0.062489722	0.019493811	0.021413629	0.065093572	0.035795639	0.028329556	0.093023256	0.120938813	0.120540019	0.012064727	0	0.010347529	0.004800461	0	0	0	0.037275601	0	0	0.110154905	0.02860321	0.147724125	0.13225414	0.034980324	0.077008782	0.131020714	0.083771228	0.079858633	0.087909392	0.034283265	0.049365651	0.042782056	0.049061378	0.101396373	0.024842075	0.02109381	0	0	0.070739015	0.052656376	0.014159793	0.029440989	0.042040359	0.047198754	0.023745449	0.019695217	0	0.062283565	0.020594292
Lactarius	0.068383507	0.087759072	0.103249914	0	0.046672993	0.050553927	0.07098363	0.011069819	0.250447227	0.047864448	0.610775967	0.448145257	0.34514439	0.272087068	0.445198219	0.475001224	0.508402537	0.356641625	0.586926057	0.72141275	0.649610901	0.476895247	0.282660255	0.504043881	0.514239219	0.496257729	0.41327823	0.739202658	0.569847289	0.742964846	0.111598727	0.056080007	0.097562418	0.080007681	0.015246485	0.096011172	0.059494593	0.207252341	0.031409008	0	0.718301779	0.572064198	0.744775798	0.886102735	0.511587232	0.706186918	0.844355711	0.62447643	0.603187549	0.758474057	0.54424684	0.592387817	0.394206087	0.454463294	0.521467061	0.209383207	0.308736673	0	0.369773395	0.416111851	0.368594629	0.552231937	0.640341515	0.350336323	0.467267664	0.344309007	0.305275856	0.620705809	0.677645183	0.273609885
